Ruta,OperadOR,route,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,year,decade
Others,Australian National Airways,Sydney - Melbourne,Avro 10,8,6,2,8,6,2,0,1931,3
Others,Trans Continental and Western Air,Kansas City - Wichita -  Los Angeles,Fokker,8,6,2,8,6,2,0,1931,3
Others,Sabena,Brussels - London,Fokker,2,0,2,2,0,2,0,1931,3
EEUU,Pacific Air Transport,San Diego - Los Angeles,Boeing,2,0,2,2,0,2,0,1931,3
Others,Others,Lae - Bulolo,Junkers,1,0,1,1,0,1,0,1931,3
EEUU,National Air Transport,Sin_Dato,Boeing,1,0,1,1,0,1,0,1931,3
Others,Air Orient,Saigon - Karachi,Fokker,4,0,4,4,0,4,0,1931,3
EEUU,Others,Sin_Dato,Lockheed,3,1,2,2,0,2,0,1931,3
Germany,Deutsche Lufthansa,Cologne - Saarbrucken,Dornier Merkur,4,2,2,4,2,2,0,1931,3
Germany,Deutsche Lufthansa,Sin_Dato,Others,10,7,3,2,0,2,0,1931,3
Others,Air Orient,Marseille - Naples - Beyrouth - Saigon,CAMS 53,7,3,4,0,0,0,0,1932,3
